case_id,case_type,court_name,ipc_section,duration_months,evidence_strength_score,prior_offenses,claimed_amount_inr,predicted_win_probability,case_outcome
CAS-2026-1000,Cyber Fraud,District & Sessions Court,IPC 307 (Attempt to Murder),26,0.87,0,1364008,58.6,Bail Denied
CAS-2026-1001,Cheque Bounce u/s 138,Karnataka High Court,IPC 420 (Cheating),38,0.32,1,6556942,81.1,Bail Granted
CAS-2026-1002,Divorce & Maintenance,Supreme Court of India,IPC 307 (Attempt to Murder),1,0.74,0,2868654,55.3,Case Dismissed
CAS-2026-1003,Cyber Fraud,Karnataka High Court,NI Act 138 (Cheque Bounce),20,0.86,2,7161944,57.5,Bail Denied
CAS-2026-1004,Criminal Breach of Trust,Karnataka High Court,IPC 379 (Theft),28,0.42,0,9870820,61.8,Injunction Issued
CAS-2026-1005,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),16,0.77,0,9747720,74.5,Case Dismissed
CAS-2026-1006,Divorce & Maintenance,Bombay High Court,IPC 379 (Theft),47,0.36,1,3976345,67.7,Settlement Agreed
CAS-2026-1007,Cyber Fraud,Delhi High Court,IPC 120B (Criminal Conspiracy),17,0.37,0,6157174,82.3,Injunction Issued
CAS-2026-1008,Property Dispute,Supreme Court of India,IPC 379 (Theft),40,0.2,1,2333414,55.7,Bail Denied
CAS-2026-1009,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),28,0.49,3,6234678,45.5,Case Dismissed
CAS-2026-1010,Cyber Fraud,Bombay High Court,NI Act 138 (Cheque Bounce),12,0.75,0,8492939,83.8,Injunction Issued
CAS-2026-1011,Criminal Breach of Trust,Delhi High Court,IPC 420 (Cheating),27,0.94,0,1665976,86.1,Case Dismissed
CAS-2026-1012,Criminal Breach of Trust,Delhi High Court,IPC 120B (Criminal Conspiracy),42,0.64,0,4076808,48.0,Case Dismissed
CAS-2026-1013,Divorce & Maintenance,District & Sessions Court,IPC 498A (Cruelty),47,0.87,1,7730725,75.5,Case Dismissed
CAS-2026-1014,Cheque Bounce u/s 138,Madras High Court,IPC 307 (Attempt to Murder),30,0.83,1,8701462,63.9,Bail Denied
CAS-2026-1015,Criminal Breach of Trust,Supreme Court of India,NI Act 138 (Cheque Bounce),41,0.25,0,4844353,84.7,Injunction Issued
CAS-2026-1016,Contract Violation,Delhi High Court,IT Act 66D,34,0.53,0,1653416,88.7,Bail Granted
CAS-2026-1017,Divorce & Maintenance,District & Sessions Court,IT Act 66D,37,0.2,0,7360219,87.6,Bail Granted
CAS-2026-1018,Property Dispute,District & Sessions Court,IPC 420 (Cheating),6,0.71,1,3056156,83.9,Bail Denied
CAS-2026-1019,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),7,0.95,0,2381696,58.5,Bail Denied
CAS-2026-1020,Contract Violation,Madras High Court,IPC 420 (Cheating),32,0.22,0,1233243,85.6,Case Dismissed
CAS-2026-1021,Contract Violation,Supreme Court of India,IT Act 66D,32,0.75,0,104677,71.7,Injunction Issued
CAS-2026-1022,Property Dispute,Karnataka High Court,IPC 307 (Attempt to Murder),25,0.66,1,8693188,47.6,Injunction Issued
CAS-2026-1023,Cheque Bounce u/s 138,Bombay High Court,IPC 120B (Criminal Conspiracy),33,0.62,0,230334,67.8,Settlement Agreed
CAS-2026-1024,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),7,0.45,0,4657885,92.1,Settlement Agreed
CAS-2026-1025,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),12,0.42,0,5262425,89.4,Bail Granted
CAS-2026-1026,Cheque Bounce u/s 138,Bombay High Court,IPC 120B (Criminal Conspiracy),16,0.14,0,2608963,50.1,Settlement Agreed
CAS-2026-1027,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),16,0.29,1,7920707,82.2,Settlement Agreed
CAS-2026-1028,Contract Violation,Delhi High Court,NI Act 138 (Cheque Bounce),43,0.11,3,5927316,85.3,Bail Granted
